ἀγαθός, ἀγαθή, ἀγαθόν	good	(adj.)
ἄγγελος, -ου, ὁ	messenger	(noun)
ἀγορά, -ᾶς, ἡ	market place	(noun)
ἀδελφός, -οῦ, ὁ	brother	(noun)
ἄδικος, ἄδικον	unjust	(adj.)
ἀθάνατος, ἀθάνατον	undying, immortal	(adj.)
ἆθλον, -ου, τό	prize	(noun)
ἀλλά	but	(conj.)
ἄν	(used in some conditional sentences)	(particle, untranslated)
ἀνάξιος, ἀνάξιον	unworthy	(adj. + gen.)
ἄνθρωπος, -ου, ὁ	man, human being	(noun)
ἀντί	instead of	(prep.) + gen.
ἄξιος, ἀξία, ἄξιον	worthy, worth	(adj. + gen.)
ἀπό	from, away from	(prep.)
ἆρα	(introduces a question)	(particle, untranslated)
ἀργύριον, ἀργυρίου, τό	small coin; money	(noun)
ἄργυρος, ἀργύρου, ὁ	silver	(noun)
ἀρετή, -ῆς, ἡ	excellence, virtue	(noun)
ἀρχή, ἀρχῆς, ἡ	beginning; rule, empire	(noun)
ἄρχω, ἄρξω, ἦρξα, ἦρχα, ἦργμαι, ἤρχθην	rule, command (+ gen.)	(verb)
βιβλίον, -ου, τό	book	(noun)
βλάπτω, βλάψω, ἔβλαψα, βέβλαφα, βέβλαμμαι, ἐβλάβην, [ἐβλάβην or ἐβλάφθην]	hurt, harm	(verb)
βουλή, -ῆς, ἡ	will; council	(noun)
γάρ	for (explanatory)	(postpositive conj.)
γέφυρα, γεφύρας, ἡ	bridge	(noun)
γεωργός, -οῦ, ὁ	farmer	(noun)
γῆ, γῆς, ἡ	earth, land	(noun)
γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι, ἐγράφην	write, draw	(verb)
δέ	but	(postpositive conj.)
δή	in fact, of course	(postpositive particle)
δημοκρατία, -ας, ἡ	democracy	(noun)
δῆμος, -ου, ὁ	the people	(noun)
διά + acc	on account of	(prep.)
διά + gen	through	(prep.)
διδάσκαλος, διδασκάλου, ὁ	teacher	(noun)
διδάσκω, διδάξω, ἐδίδαξα, δεδίδαχα, δεδίδαγμαι, ἐδιδάχθην	teach	(verb)
δίκαιος, δικαία, δίκαιον	just	(adj.)
δίκη, δίκης, ἡ	justice; lawsuit	(noun)
δόξα, δόξης, ἡ	expectation, belief; reputation, glory	(noun)
δῶρον, -ου, τό	gift; bribe (esp. in pl.)	(noun)
ἐθέλω, ἐθελήσω, ἠθέλησα, ἠθέληκα, ---, ---	be willing, wish	(verb)
εἰ, ἐάν	if	(particle)
εἰρήνη, -ης, ἡ	peace	(noun)
εἰς	into, to; for (purpose)	(prep.) + acc.
ἐκ, ἐξ	from, out of	(prep.) + gen.
ἐκκλησία, -ας, ἡ	assembly	(noun)
ἐν	in 	(prep.) + dat.
ἕξ	six	(indeclinable numeral)
ἐπεί, ἐπειδή	after, when, since	(conj.)
ἔργον, -ου, τό	work, deed	(noun)
εὖ	well	(adv.)
ζῷον, -ου, τό	animal	(noun)
ἤ	or	(conj.)
ἤ . . . ἤ	either . . . or	(conjs.)
ἡμέρα, ἡμέρας, ἡ	day	(noun)
θάλαττα, θαλάττης, ἡ	sea	(noun)
θάνατος, θανάτου, ὁ	death	(noun)
θάπτω, θάψω, ἔθαψα, ---, τέθαμμαι, ἐτάφην	bury	(verb)
θεός, -οῦ, ὁ/ἡ	god, goddess	(noun)
θυσία, -ας, ἡ	sacrifice	(noun)
θύω, θύσω, ἔθυσα, τέθυκα, τέθυμαι, ἐτύθην	sacrifice	(verb)
ἱερόν, ἱεροῦ, τό	shrine	(noun)
ἱερός, ἱερά, ἱερόν	holy, sacred to	(adj. + gen.)
ἱκανός, ἱκανή, ἱκανόν	sufficient, able, capable	(adj.)
ἵνα μή, ὅπως μή, ὡς μή	in order that … not …	(conj. + adv.)
ἵνα, ὅπως, ὡς	in order that …	(conj.)
ἵππος, ἵππου, ὁ/ἡ	horse, mare	(noun)
καί	and (conj.); even, also (adv.)	(conj.; adv.)
καί . . . καί	both . . . and (conjs.)	(conj.)
καίτοι	and further, and yet	(particle)
κακός, κακή, κακόν	bad, evil	(adj.)
καλός, καλή, καλόν	beautiful, noble, good	(adj.)
κελεύω, κελεύσω, ἐκέλευσα, κεκέλευκα, κεκέλευσμαι, ἐκελεύσθην	order, command	(verb)
κίνδυνος, κινδύνου, ὁ	danger	(noun)
λίθος, λίθου, ὁ	stone	(noun)
λόγος, -ου, ὁ	word, speech, story	(noun)
λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθην	unbind, free, release; dissolve; destroy	(verb)
μακρός, μακρά, μακρόν	long, tall	(adj.)
μάχη, -ης, ἡ	battle	(noun)
μέν . . . δέ	on the one hand . . . on the other hand	(postpositive conjs.)
μετά + acc.	after	(prep.)
μετά + gen.	with	(prep.)
μικρός, μικρά, μικρόν	small, little, short	(adj.)
μοῖρα, μοίρας, ἡ	fate	(noun)
μοῦσα, μούσης, ἡ	muse	(noun)
νεανίας, νεανίου, ὁ	young man	(noun)
νῆσος, -ου, ἡ	island	(noun)
νίκη, -ης, ἡ	victory	(noun)
νῦν	now	(adv.)
ξένος, -ου, ὁ	guest-friend, host, stranger, foreigner	(noun)
ὁδός, -οῦ, ἡ	road	(noun)
οἰκία, -ας, ἡ	house	(noun)
Ὅμηρος, -ου, ὁ	Homer	(noun)
ὁπλίτης, ὁπλίτου, ὁ	hoplite, heavy-armed foot soldier	(noun)
ὅπλον, ὅπλου, τό	tool; weapons (pl.)	(noun)
οὐ, οὐκ, οὐχ	not	(adv.)
ὀφθαλμός, -οῦ, ὁ	eye	(noun)
παιδεύω, παιδεύσω, ἐπαίδευσα, πεπαίδευκα, πεπαίδευμαι, ἐπαιδεύθην	educate, teach	(verb)
πάλαι	long ago	(adv.)
παρά + acc.	to (the side of), beside; contrary to	(prep.)
παρά + dat.	at (the side of), at the house of	(prep.)
παρά + gen.	from (the side of)	(prep.)
παύω, παύσω, ἔπαυσα, πέπαυκα, πέπαυμαι, ἐπαύθην	make stop, stop	(verb)
πεδίον, πεδίου, τό	plain	(noun)
πείθω, πείσω, ἔπεισα, πέπεικα, πέπεισμαι, ἐπείσθην	persuade	(verb)
πέμπω, πέμψω, ἔπεμψα, πέπομφα, πέπεμμαι, ἐπέμφθην	send	(verb)
πέντε	five	(indeclinable numeral)
περί + acc	around, concerning	(prep.)
περί + dat	around	(prep.)
περί + gen	concerning, about	(prep.)
ποιητής, ποιητοῦ, ὁ	poet, author	(noun)
πολέμιος, πολεμία, πολέμιον	hostile	(adj. + dat.)
πόλεμος, -ου, ὁ	war	(noun)
πολίτης, πολίτου, ὁ	citizen	(noun)
πράττω, πράξω, ἔπραξα, [πέπραχα (trans.) or πέπραγα (intrans.)], πέπραγμαι, ἐπράχθην	do; fare	(verb)
πρό	before, in front of	(prep.) + gen.
πρῶτος, πρώτη, πρῶτον	first	(adj.)
στέφανος, -ου, ὁ	crown, wreath	(noun)
στρατιώτης, στρατιώτου, ὁ	soldier	(noun)
σύν + dat.	with	(prep. + dat.)
τάττω, τάξω, ἔταξα, τέταχα, τέταγμαι, ἐτάχθην	draw up in order, station, appoint	(verb)
τέχνη, -ης, ἡ	art, skill, craft	(noun)
ὑπό + acc.	under (with motion); toward (of time)	(prep.)
ὑπό + dat.	under, under the power of	(prep.)
ὑπό + gen.	by (personal agent); under	(prep.)
φιλία, -ας, ἡ	friendship	(noun)
φίλος, -ου, ὁ	friend	(noun)
φίλος, φίλη, φίλον	dear, beloved, one’s own	(adj.)
φοβερός, φοβερά, φοβερόν	fearful	(adj.)
φόβος, φόβου, ὁ	fear	(noun)
φυλάττω, φυλάξω, ἐφύλαξα, πεφύλαχα, πεφύλαγμαι, ἐφυλάχθην	guard	(verb)
χρυσός, -οῦ, ὁ	gold	(noun)
χώρα, -ας, ἡ	land, country	(noun)
ψυχή, -ῆς, ἡ	soul	(noun)
ὦ	(interjection used with vocative)	(interjection)
