----, ἀλλήλων	one another	(reciprocal pronoun)
ἀνα-	up, up to	(prefix)
γραφεύς, γραφέως, ὁ	writer; painter	(noun)
γραφική, γραφικῆς, ἡ	writing; painting	(noun)
δέκα	ten	(numeral)
δημιουργός, δημιουργοῦ, ὁ	skilled workman	(noun)
δίδωμι, δώσω, ἔδωκα, δέδωκα, δέδομαι, ἐδόθην	give	(verb)
ἀπο- + δίδωμι	give back, pay, permit; sell (mid.)	(verb)
ἐννέα	nine	(numeral)
ἔπος, ἔπους, τό	word; epic poetry (sometimes, pl.)	(noun)
ἑρμηνεύς, ἑρμηνέως, ὁ	interpreter	(noun)
ζωγράφος, ζωγραφου, ὁ	painter	(noun)
ἤ	than	(conj.)
ἵστημι, στήσω, [ἔστησα (trans.) or ἔστην (intrans.)], ἕστηκα (intrans.), ἕσταμαι, ἐστάθην	make stand; stand (mid. or intrans.)	(verb)
ἀπο- + ἵστημι	cause to revolt (trans.); stand (mid. or intrans.)	(verb)
κατα-	down; against; (strengthens verb)	(prefix)
κατα- + ἵστημι	appoint, establish, put into a state (trans.); be established, be appointed, enter into a state (intrans.)	(verb)
κατα- + λύω	destroy; dissolve	(verb)
μᾶλλον	more, rather	(adv.)
μή	that, lest (with fear clauses)	(conj.)
μηδέ	and not	(conj.)
μηδέ	not even	(adv.)
μόνος, μόνη, μόνον	alone	(adj.)
μόνον	only	(adv.)
οὐδέ	and not	(conj.)
οὐδέ	not even	(adv.)
πόθεν	from where?, whence?	(adv.)
ποῖ	(to) where?, whither?	(adv.)
ποῦ	where?, in what place?	(adv.)
που	I suppose; somewhere (qualifies an assertion)	(enclitic adv.)
πρός + gen.	in the eyes of, in the name of	(prep.)
πρός + dat.	near; in addition to	(prep.)
πρός + acc.	toward	(prep.)
προσ-	to, against; besides	(prefix)
συν-	with, together	(prefix)
τίθημι, θήσω, ἔθηκα, τέθηκα, τέθειμαι, ἐτέθην	put	(verb)
ἀνα- + τίθημι	set up, dedicate	(verb)
φιλέω, φιλήσω, ἐφίλησα, πεφίληκα, πεφίλημαι, ἐφιλήθην	love	(verb)
φοβέομαι, φοβήσομαι, ----, ----, πεφόβημαι, ἐφοβήθην	fear, be afraid	(verb)
Ἀριστοφάνης, Ἀριστοφάνους, ὁ	Aristophanes	(noun)
ἄρχων, ἄρχοντος, ὁ	ruler; archon	(noun)
ἀσπίς, ἀσπίδος, ἡ	shield	(noun)
αὐτίκα	immediately	(adv.)
γίγνομαι, γενήσομαι, ἐγενόμην, γέγονα, γεγένημαι, ----	be born; become; happen	(verb)
ἑορτή, ἑορτῆς, ἡ	festival	(noun)
ἐπί + gen.	on 	(prep.)
ἐπί + dat.	on, pertaining to, on condition that	(prep.)
ἐπί + acc.	onto, over, against, for (purpose)	(prep.)
ἑπι-	upon, over, against, after	(prefix)
ἔρχομαι, ἐλεύσομαι, ἦλθον, ἐλήλυθα, ----, ----	come, go	(verb)
ἑταῖρος, ἑταίρου, ὁ	companion	(noun)
Εὐριπίδης, Εὐριπίδου, ὁ	Euripides	(noun)
κράτος, κράτους, τό	strength, power	(noun)
μανθάνω, μαθήσομαι, ἔμαθον, μεμάθηκα, ----, ----	learn, understand	(verb)
μάχομαι, μαχοῦμαι, ἐμαχεσάμην, ----, μεμάχημαι, ----	fight ( + dat.)	(verb)
μετα-	(indicates sharing or change)	(prefix)
μετα + δίδωμι	give a share to	(verb)
μετα + ἵστημι	migrate	(verb)
μηχανή, μηχανῆς, ἡ	device, machine	(noun)
μηχανάομαι, μηχανήσομαι, ἐμηχανησάμην, ----, μεμηχάνημαι, ----	contrive, devise	(verb)
ξίφος, ξίφους, τό	sword	(noun)
ὅμοιος, ὁμοία, ὅμοιον	like ( + dat.)	(adj.)
ὅπως	that (introduces object clause of effort)	(conj.)
παῖς, παιδός, ὁ ἡ	child	(noun)
πούς, ποδός, ὁ	foot	(noun)
σαφής, σαφές	clear, distinct	(adj.)
σύμμαχος, συμμάχου, ὁ	ally	(noun)
τεῖχος, τείχους, τό	city wall	(noun)
τόπος, τόπου, ὁ	place	(noun)
τρόπαιον, τροπαίου, τό	trophy, victory monument	(noun)
φεύγω, φεύξομαι, ἔφυγον, πέφευγα, ----, ----	flee; be in exile; be a defendant	(verb)
χαλεπός, χαλεπή, χαλεπόν	difficult, harsh	(adj.)
χείρ, χειρός, ἡ	hand	(noun)
ἀμαθής, ἀμαθές	ignorant, stupid	(adj.)
